case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case041,cases_floorfrontR_lhs_500\case041\case041.key,2000395,3080936,-1821.73225000,-462.97052500,290.35292500,-1822.97444503,-462.50624382,272.90324321,195.20332929,-72.95893916,2742.11044497,2750.01764340,1.15965352,0.0115965352,6.0359965690E-05,4.34595600,339.50633397,2,steel_rigid,210000.0,0.3000,128.81966203,0.8427902468,0.3714602216,0.2938620835,0.8193070390,0.2897304001,0.9430731499,0.8096398037
case042,cases_floorfrontR_lhs_500\case042\case042.key,2000395,3366704,-1797.88600000,-455.83385000,290.40637500,-1797.26723041,-454.39397494,272.97669101,-152.30992190,-354.42475127,4290.31071439,4307.61897602,0.93889848,0.0093889848,4.8869665656E-05,5.13796618,246.74494654,1,titanium_rigid,110000.0,0.3400,116.75975612,0.8650576230,0.3886577084,0.7435030675,0.3777969512,0.3425310784,0.6854026293,0.5892128872
case043,cases_floorfrontR_lhs_500\case043\case043.key,2000395,3372323,-2451.30475000,-232.02765000,313.54532500,-2450.63243028,-229.34653523,296.26500065,-106.08540420,-423.05340195,2726.66432516,2761.32697013,1.19357323,0.0119357323,6.2125486418E-05,9.08792880,255.92271260,0,aluminum_rigid,70000.0,0.3300,110.88331840,0.2549021027,0.9279710692,0.2971268064,0.8871464522,0.6058619201,0.7108964239,0.3050326305
case044,cases_floorfrontR_lhs_500\case044\case044.key,2000395,3376897,-2090.13675000,-217.28295000,313.79887500,-2093.63930429,-215.89422113,296.70930082,365.48930545,-144.91297149,1783.28615978,1826.11383253,0.85592071,0.0085592071,4.4550672730E-05,12.43335710,338.37215338,2,steel_rigid,210000.0,0.3000,93.36250393,0.5921569625,0.9635018709,0.0271539022,0.2118414113,0.8288904731,0.9399226483,0.8940072704
case045,cases_floorfrontR_lhs_500\case045\case045.key,2000395,3373776,-1710.63950000,-258.23977500,301.82555000,-1710.26488513,-256.95035574,284.37713856,-111.17292505,-382.65568739,5178.09379343,5193.40352062,0.83622946,0.0083622946,4.3525743384E-05,4.40050044,253.79983831,0,aluminum_rigid,70000.0,0.3300,132.38549685,0.9465274822,0.8648068261,0.9992071593,0.1724589197,0.2933666958,0.7049995509,0.2814907393
case046,cases_floorfrontR_lhs_500\case046\case046.key,2000395,3375926,-2242.91425000,-365.53692500,290.12332500,-2244.92697949,-363.22822221,272.89344365,437.47478888,-501.80576698,3744.98349473,3803.69486085,0.82869111,0.0082869111,4.3133372442E-05,10.07989713,311.08195189,2,steel_rigid,210000.0,0.3000,240.14414678,0.4494949483,0.6062492590,0.5980326379,0.1573822264,0.6719931418,0.8641165330,0.9097087412
case047,cases_floorfrontR_lhs_500\case047\case047.key,2000395,3369127,-1953.84175000,-599.35705000,290.88982500,-1957.55381444,-601.20885952,273.88860801,414.74378388,206.90009553,1899.52226551,1955.25059595,0.86358523,0.0086358523,4.4949611264E-05,13.71233401,26.51288549,2,steel_rigid,210000.0,0.3000,85.99439927,0.7194277925,0.0428050048,0.0644324921,0.2271704616,0.9141556005,0.0736469041,0.9200586697
case048,cases_floorfrontR_lhs_500\case048\case048.key,2000395,3368009,-2459.13675000,-614.12505000,294.60065000,-2456.50726429,-616.29286162,277.43567410,-580.73246270,478.76988915,3790.95375633,3864.94517201,1.03341121,0.0103341121,5.3789053227E-05,11.22928043,140.49700482,2,steel_rigid,210000.0,0.3000,80.51759994,0.2475886639,0.0072180563,0.6157140879,0.5668224103,0.7486186951,0.3902694578,0.7299971173
case049,cases_floorfrontR_lhs_500\case049\case049.key,2000395,3376810,-2138.97575000,-209.67927500,314.72065000,-2134.63896283,-208.61228725,297.80013540,-741.80798745,-182.50838773,2894.25613471,2993.37718558,0.93125893,0.0093125893,4.8472027179E-05,14.78582682,193.82205998,0,aluminum_rigid,70000.0,0.3300,85.15645552,0.5465516207,0.9818247034,0.3641139648,0.3625178551,0.9857217880,0.5383946111,0.2152567680
case050,cases_floorfrontR_lhs_500\case050\case050.key,2000395,3366442,-2288.32225000,-447.46870000,289.90745000,-2288.25764827,-447.29985631,272.40838378,-9.95236500,-26.01159502,2695.85801853,2696.00187476,0.88879487,0.0088879487,4.6261772754E-05,0.59189382,249.06251768,1,titanium_rigid,110000.0,0.3400,246.43729510,0.4070934380,0.4088154929,0.2782690669,0.2775897312,0.0394595880,0.6918403269,0.6483493963
