case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case311,-3767.885498046875,-280.06341552734375,542.3477783203125,840.9666748046875,448.7423400878906,4507.64404296875,4607.32568359375,0.8615415096282959,0.00861541461199522,4.48432365374174e-05,11.940067291259766,28.084514617919922,70000.0,0.33000001311302185,0,aluminum_rigid
case312,-3779.920654296875,425.45654296875,630.04345703125,-119.38306427001953,562.1341552734375,3414.728759765625,3462.747314453125,1.2460789680480957,0.012460789643228054,6.485841004177928e-05,9.552903175354004,101.99002838134766,110000.0,0.3400000035762787,1,titanium_rigid
case313,-4196.8662109375,-273.84423828125,519.472900390625,38.205589294433594,-65.03819274902344,2261.165771484375,2262.423583984375,1.1902987957000732,0.011902987957000732,6.19550482952036e-05,1.9106069803237915,300.431396484375,110000.0,0.3400000035762787,1,titanium_rigid
case314,-3685.630859375,-51.162841796875,505.74835205078125,-940.1179809570312,529.3342895507812,4036.597900390625,4178.2939453125,1.1636221408843994,0.011636221781373024,6.056653364794329e-05,14.964142799377441,150.61827087402344,70000.0,0.33000001311302185,0,aluminum_rigid
case315,-4327.884765625,130.48765563964844,519.3694458007812,99.21149444580078,-694.9247436523438,3251.104736328125,3326.025390625,0.9716811180114746,0.009716811589896679,5.0576003559399396e-05,12.184126853942871,278.1249694824219,210000.0,0.30000001192092896,2,steel_rigid
case316,-4206.974609375,-167.4183807373047,511.843505859375,-451.52740478515625,-0.7467150688171387,2867.220947265625,2902.55615234375,1.088803768157959,0.010888037271797657,5.6672233768040314e-05,8.949402809143066,180.09475708007812,70000.0,0.33000001311302185,0,aluminum_rigid
case317,-4019.933349609375,190.3404541015625,497.1769714355469,186.47886657714844,-112.8736343383789,2757.066162109375,2765.669677734375,1.1511746644973755,0.011511746793985367,5.9918646002188325e-05,4.520511150360107,328.8139343261719,110000.0,0.3400000035762787,1,titanium_rigid
case318,-4286.99951171875,360.079833984375,629.4656372070312,-766.4581298828125,-534.3466186523438,3591.02490234375,3710.58544921875,0.8397511839866638,0.008397512137889862,4.370904935058206e-05,14.584226608276367,214.88279724121094,110000.0,0.3400000035762787,1,titanium_rigid
case319,-4004.798828125,-192.08839416503906,514.296875,233.55735778808594,905.22314453125,4480.7490234375,4577.236328125,1.1002403497695923,0.011002403683960438,5.7267512602265924e-05,11.785181999206543,75.5325927734375,110000.0,0.3400000035762787,1,titanium_rigid
case320,-3764.408935546875,-197.3655242919922,505.53887939453125,-3.8782906532287598,8.593571662902832,4161.0732421875,4161.083984375,1.0340492725372314,0.010340492241084576,5.382226299843751e-05,0.12982085347175598,114.28971862792969,210000.0,0.30000001192092896,2,steel_rigid
case321,-4182.38623046875,404.14813232421875,643.9451904296875,-71.82389068603516,578.7019653320312,2245.875732421875,2320.34765625,0.9973964691162109,0.009973964653909206,5.191448508412577e-05,14.555439949035645,97.07492065429688,110000.0,0.3400000035762787,1,titanium_rigid
