case,impact_x,impact_y,impact_z,velocity_x,velocity_y,velocity_z,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_young_mpa,material_poisson,material_index,material_name
case229,-1810.6802978515625,505.336181640625,296.83343505859375,-478.10089111328125,-449.2342529296875,3056.263427734375,3125.8818359375,0.7962996363639832,0.007962996140122414,4.1447394323768094e-05,12.114992141723633,223.217041015625,210000.0,0.30000001192092896,2,steel_rigid
case230,-1939.38330078125,437.412841796875,289.42608642578125,-104.02546691894531,-22.1700496673584,2741.94677734375,2744.0087890625,0.9908778667449951,0.009908778592944145,5.157519262866117e-05,2.2214224338531494,192.0309600830078,110000.0,0.3400000035762787,1,titanium_rigid
case231,-2690.013916015625,279.56280517578125,320.882080078125,-116.48944091796875,-27.401681900024414,2460.5029296875,2463.411376953125,0.9942735433578491,0.0099427355453372,5.175193655304611e-05,2.784440279006958,193.2369842529297,70000.0,0.33000001311302185,0,aluminum_rigid
case232,-1674.3623046875,405.97509765625,297.16156005859375,10.123985290527344,12.395345687866211,1954.1993408203125,1954.264892578125,1.1313961744308472,0.011313962750136852,5.888917439733632e-05,0.4692264497280121,50.75952911376953,210000.0,0.30000001192092896,2,steel_rigid
case233,-2382.77978515625,270.942138671875,311.103759765625,267.0138244628906,442.605224609375,3013.10009765625,3057.11767578125,0.9145431518554688,0.009145431220531464,4.760197043651715e-05,9.734567642211914,58.89835739135742,70000.0,0.33000001311302185,0,aluminum_rigid
case234,-2289.30712890625,492.92523193359375,293.4225769042969,66.0469970703125,-302.38330078125,2980.6171875,2996.64404296875,1.100788950920105,0.011007889173924923,5.729606345994398e-05,5.928442478179932,282.32110595703125,70000.0,0.33000001311302185,0,aluminum_rigid
case235,-2271.536865234375,519.49560546875,296.1989440917969,-745.0687866210938,362.0055847167969,4139.32666015625,4221.39794921875,0.9525529146194458,0.009525529108941555,4.9580376071389765e-05,11.31647777557373,154.08633422851562,70000.0,0.33000001311302185,0,aluminum_rigid
case236,-2360.61181640625,511.822998046875,289.8392639160156,-62.548526763916016,868.4811401367188,4309.830078125,4396.90869140625,0.8992671370506287,0.00899267103523016,4.6806853788439184e-05,11.421926498413086,94.1193618774414,110000.0,0.3400000035762787,1,titanium_rigid
case237,-2691.4033203125,364.17681884765625,300.2931823730469,151.2655792236328,-167.06886291503906,2516.605712890625,2526.677001953125,0.7860238552093506,0.007860238663852215,4.091254231752828e-05,5.117449760437012,312.157958984375,110000.0,0.3400000035762787,1,titanium_rigid
case238,-2029.987548828125,419.6189880371094,295.9226989746094,-315.6618347167969,-120.18133544921875,3974.938232421875,3989.262939453125,0.872394323348999,0.008723943494260311,4.540812369668856e-05,4.856979846954346,200.84323120117188,110000.0,0.3400000035762787,1,titanium_rigid
case239,-2509.88134765625,446.93817138671875,294.65936279296875,-382.4129943847656,57.57823944091797,3145.424560546875,3169.108642578125,0.8416247367858887,0.008416247554123402,4.3806569010484964e-05,7.009219646453857,171.4375457763672,70000.0,0.33000001311302185,0,aluminum_rigid
case240,-2450.29052734375,282.128662109375,313.1172180175781,48.06969451904297,73.29121398925781,2085.9091796875,2087.749755859375,1.098591923713684,0.010985919274389744,5.718170723412186e-05,2.406120538711548,56.740230560302734,110000.0,0.3400000035762787,1,titanium_rigid
case241,-1700.11376953125,392.0331115722656,290.312744140625,-143.93310546875,-117.11587524414062,2106.915771484375,2115.071533203125,1.183645248413086,0.011836452409625053,6.160873454064131e-05,5.033185005187988,219.13465881347656,70000.0,0.33000001311302185,0,aluminum_rigid
case242,-2613.2880859375,396.7683410644531,303.2417907714844,-2.3404605388641357,-0.7680174112319946,2258.425048828125,2258.426513671875,0.9238091707229614,0.009238091297447681,4.808426820090972e-05,0.06249215081334114,198.16714477539062,210000.0,0.30000001192092896,2,steel_rigid
