case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case313,cases_trunkfloor_lhs_500\case313\case313.key,2000447,3286161,-4196.86600000,-273.84422500,519.47290000,-4197.16152284,-273.34115016,501.98262893,38.20558970,-65.03819202,2261.16576172,2262.42353141,1.19029876,0.0119029876,6.1955050556E-05,1.91060698,300.43138805,1,titanium_rigid,110000.0,0.3400,189.50232142,0.1972307958,0.1578826982,0.1531057220,0.8805975238,0.1273737987,0.8345316335,0.4386076643
case314,cases_trunkfloor_lhs_500\case314\case314.key,2000447,3288374,-3685.63075000,-51.16284250,505.74835000,-3681.69324222,-53.37985999,488.84181677,-940.11796996,529.33431344,4036.59791610,4178.29383230,1.16362215,0.0116362215,6.0566533028E-05,14.96414270,150.61827246,0,aluminum_rigid,70000.0,0.3300,119.78796989,0.9417952276,0.4224110508,0.7061700968,0.8272443046,0.9976095136,0.4183840902,0.2766857482
case315,cases_trunkfloor_lhs_500\case315\case315.key,2000447,3287286,-4327.88500000,130.48765000,519.36947500,-4328.40700479,134.14402099,502.26367300,99.21149630,-694.92472367,3251.10465471,3326.02537099,0.97168113,0.0097168113,5.0576003063E-05,12.18412731,278.12497438,2,steel_rigid,210000.0,0.3000,83.83178058,0.0064143619,0.6381978625,0.4601412693,0.4433622695,0.8122751538,0.7725693733,0.9492280091
case316,cases_trunkfloor_lhs_500\case316\case316.key,2000447,3040796,-4206.97450000,-167.41837500,511.84350000,-4204.25216533,-167.41387293,494.55654325,-451.52740274,-0.74671507,2867.22083802,2902.55626767,1.08880375,0.0108880375,5.6672235422E-05,8.94940309,180.09475302,0,aluminum_rigid,70000.0,0.3300,152.10519043,0.1825087484,0.2843084212,0.3378962119,0.6776075090,0.5966268725,0.5002632028,0.0635679399
case317,cases_trunkfloor_lhs_500\case317\case317.key,2000447,3285197,-4019.93325000,190.34045000,497.17697500,-4021.11321021,191.05466714,479.73141431,186.47885933,-112.87363499,2757.06606736,2765.66956129,1.15117472,0.0115117472,5.9918644349E-05,4.52051133,328.81393435,1,titanium_rigid,110000.0,0.3400,196.40587513,0.4549161421,0.7092983847,0.2983804051,0.8023494466,0.3013674220,0.9133720398,0.3992598802
case318,cases_trunkfloor_lhs_500\case318\case318.key,2000447,3289552,-4286.99975000,360.07982500,629.46565000,-4283.38495205,362.59993030,612.52952574,-766.45810562,-534.34663916,3591.02497355,3710.58549546,0.83975119,0.0083975119,4.3709049595E-05,14.58422630,214.88280250,1,titanium_rigid,110000.0,0.3400,86.02901993,0.0659597530,0.9109357050,0.5711542668,0.1795023860,0.9722817531,0.5968966736,0.6187439552
case319,cases_trunkfloor_lhs_500\case319\case319.key,2000447,2917986,-4004.79875000,-192.08840000,514.29690000,-4005.69170234,-195.54931065,497.16579573,233.55735732,905.22316980,4480.74916414,4577.23618555,1.10024039,0.0110024039,5.7267512342E-05,11.78518179,75.53259129,1,titanium_rigid,110000.0,0.3400,80.47164063,0.4769580698,0.2550023292,0.8213348880,0.7004807816,0.7856787863,0.2098127536,0.4127910114
case320,cases_trunkfloor_lhs_500\case320\case320.key,2000447,3283145,-3764.40900000,-197.36552500,505.53887500,-3764.39268932,-197.40166643,488.03891992,-3.87829063,8.59357171,4161.07309379,4161.08377499,1.03404922,0.0103404922,5.3822261945E-05,0.12982086,114.28972149,2,steel_rigid,210000.0,0.3000,104.71775835,0.8270623664,0.2487335107,0.7012019789,0.5680984417,0.0086547243,0.3174714486,0.9278573240
case321,cases_trunkfloor_lhs_500\case321\case321.key,2000447,3290700,-4182.38625000,404.14812500,643.94520000,-4181.84455610,399.78357005,627.00686396,-71.82389195,578.70196532,2245.87580417,2320.34755239,0.99739648,0.0099739648,5.1914486843E-05,14.55544006,97.07491826,1,titanium_rigid,110000.0,0.3400,109.22622571,0.2183191437,0.9632854555,0.1698269543,0.4947929623,0.9703626707,0.2696525507,0.4426296848
case322,cases_trunkfloor_lhs_500\case322\case322.key,2000447,3288981,-4162.49850000,-355.38482500,625.35190000,-4160.78760327,-356.93775613,608.00510671,-485.24796422,440.44544163,4919.93231571,4963.38511149,1.20472852,0.0120472852,6.2706119426E-05,7.58708339,137.77088926,1,titanium_rigid,110000.0,0.3400,131.20739405,0.2472837178,0.0610187379,0.9328065332,0.9094570385,0.5058055594,0.3826969146,0.4310112464
