case,key_file,panel_pid,impact_element_id,impact_x,impact_y,impact_z,ball_center_x,ball_center_y,ball_center_z,velocity_vx,velocity_vy,velocity_vz,impact_speed,mass_ratio,impactor_mass,impactor_density,theta_deg,phi_deg,material_index,material_name,material_young_mpa,material_poisson,min_boundary_distance_mm,lhs_u_x,lhs_u_y,lhs_u_v,lhs_u_m,lhs_u_theta,lhs_u_phi,lhs_u_material
case038,cases_floorfrontdriver_lhs_100\case038\case038.key,2000394,3045725,-1828.36125000,527.28275000,296.44105000,-1827.34062110,526.26322758,279.00061163,-236.98641395,236.72949351,4049.60798096,4063.43797946,1.03193115,0.0103193115,5.3712016391E-05,4.72851895,135.03107444,0,aluminum_rigid,70000.0,0.3300,87.29941249,0.8387916728,0.7724367353,0.6730140526,0.5638623013,0.3152345964,0.3750863179,0.1505472671
case039,cases_floorfrontdriver_lhs_100\case039\case039.key,2000394,3045306,-2174.88125000,608.15990000,290.72480000,-2174.13653304,605.59987153,273.42908808,-122.73545375,421.91365482,2850.47495196,2884.14330009,0.93450301,0.0093450301,4.8640881789E-05,8.76321580,106.21981007,1,titanium_rigid,110000.0,0.3400,87.10504192,0.5147281414,0.9762300759,0.3325808435,0.3690060246,0.5842143864,0.2950550280,0.4250838266
case040,cases_floorfrontdriver_lhs_100\case040\case040.key,2000394,3047534,-1734.97250000,261.25610000,302.93985000,-1736.11717815,263.43436356,285.61371714,301.41370331,-573.57475039,4562.27268067,4608.05492888,1.13128933,0.0113128933,5.8883609608E-05,8.08327940,297.72193957,2,steel_rigid,210000.0,0.3000,85.48151808,0.9261283002,0.1021057497,0.8302314970,0.7625786593,0.5388852932,0.8270053877,0.8112127395
case041,cases_floorfrontdriver_lhs_100\case041\case041.key,2000394,3047999,-2033.25900000,309.04027500,310.28707500,-2032.44750553,308.65796056,292.81008120,-195.44392684,92.07830515,4209.23671633,4214.77763078,0.76131329,0.0076131329,3.9626356929E-05,2.93824908,154.77375462,0,aluminum_rigid,70000.0,0.3300,146.96268505,0.6471724634,0.2225117810,0.7167020671,0.0226265871,0.1958832722,0.4299270962,0.2690581488
case042,cases_floorfrontdriver_lhs_100\case042\case042.key,2000394,3046306,-2202.16500000,435.83535000,289.43787500,-2201.83464341,435.99728167,271.94174278,-86.95212951,-42.62153019,4605.10254756,4606.12057389,1.12585540,0.0112585540,5.8600773531E-05,1.20464056,206.11281676,0,aluminum_rigid,70000.0,0.3300,259.37521518,0.4892125337,0.5420085968,0.8296730966,0.7517107985,0.0803093710,0.5725356021,0.0618720894
case043,cases_floorfrontdriver_lhs_100\case043\case043.key,2000394,3045865,-1947.85075000,589.52050000,291.66732500,-1949.93674537,588.66299008,274.31326784,287.55250174,118.20693615,2392.24047340,2412.35855618,0.78855156,0.0078855156,4.1044108784E-05,7.40478202,22.34655858,0,aluminum_rigid,70000.0,0.3300,84.07512722,0.7270457726,0.9292627236,0.1963882556,0.0771031233,0.4936521349,0.0620737738,0.1657598894
case044,cases_floorfrontdriver_lhs_100\case044\case044.key,2000394,3049033,-2555.45325000,269.44660000,316.42722500,-2552.60495385,267.48153664,299.27275809,-412.24107665,284.40856948,2482.80920489,2532.81907912,0.95386793,0.0095386793,4.9648825519E-05,11.40461461,145.39788126,0,aluminum_rigid,70000.0,0.3300,127.29416871,0.1588193733,0.1227440803,0.2311622295,0.4077358509,0.7603076408,0.4038830035,0.0841649790
case045,cases_floorfrontdriver_lhs_100\case045\case045.key,2000394,2724392,-2251.10700000,435.70650000,289.45882500,-2249.73052057,439.20739104,272.36791905,-275.73904801,-701.30533009,3423.68365748,3505.63417588,0.92476535,0.0092476535,4.8134036618E-05,12.41308902,248.53625320,2,steel_rigid,210000.0,0.3000,259.70024631,0.4434422539,0.5416839220,0.5119898894,0.3495307058,0.8275392680,0.6903784811,0.8423526656
case046,cases_floorfrontdriver_lhs_100\case046\case046.key,2000394,3045009,-2360.96050000,533.19492500,289.89525000,-2359.18454397,533.86077854,272.49833593,-434.84424746,-163.03476932,4259.64825060,4284.88892206,0.77779031,0.0077779031,4.0483985499E-05,6.22202451,200.55236898,0,aluminum_rigid,70000.0,0.3300,162.24405453,0.3407078860,0.7873341680,0.7369414630,0.0555806148,0.4148016340,0.5570899138,0.3056274692
case047,cases_floorfrontdriver_lhs_100\case047\case047.key,2000394,3046832,-2499.12650000,426.23040000,297.12510000,-2497.17496727,424.13897548,279.86046958,-505.35762352,541.58319159,4470.74878952,4531.69873448,0.77016854,0.0077016854,4.0087272259E-05,9.40766273,133.01827916,1,titanium_rigid,110000.0,0.3400,123.58899598,0.2114958293,0.5178061509,0.8081893521,0.0403370705,0.6271775151,0.3694952199,0.4910491599
case048,cases_floorfrontdriver_lhs_100\case048\case048.key,2000394,3047711,-1909.93200000,313.53495000,306.74122500,-1913.58594747,315.22162594,289.71025932,809.45883964,-373.64925556,3772.86915892,3876.77431244,1.00709926,0.0100709926,5.2419516585E-05,13.29522563,335.22177452,0,aluminum_rigid,70000.0,0.3300,141.69127815,0.7625071718,0.2338374129,0.6191288682,0.5141985239,0.8863483751,0.9311715959,0.1787881103
case049,cases_floorfrontdriver_lhs_100\case049\case049.key,2000394,3046960,-2232.05275000,426.49132500,291.66850000,-2231.40499206,427.83700004,274.23234307,-157.57241535,-327.34645820,4241.48776416,4257.01811404,1.00310784,0.0100310784,5.2211762923E-05,4.89561911,244.29556561,2,steel_rigid,210000.0,0.3000,268.82193074,0.4612616800,0.5184636268,0.7288958500,0.5062156743,0.3263746074,0.6785987934,0.9897320946
case050,cases_floorfrontdriver_lhs_100\case050\case050.key,2000394,3048882,-2515.32025000,317.69965000,314.50770000,-2518.63554182,314.88853245,297.55610839,721.00879163,611.36110441,3686.62767724,3805.89538849,1.23885663,0.0123885663,6.4482487455E-05,14.38173786,40.29543210,1,titanium_rigid,110000.0,0.3400,177.26766637,0.1963515264,0.2443315775,0.5986678758,0.9777132548,0.9587825243,0.1119317558,0.4138570092
case051,cases_floorfrontdriver_lhs_100\case051\case051.key,2000394,3049930,-1665.60575000,399.06715000,294.30772500,-1663.61408043,395.69370768,277.25184217,-258.91183484,438.53867823,2217.22016109,2274.95423103,0.88704556,0.0088704556,4.6170721185E-05,12.93570652,120.55746662,2,steel_rigid,210000.0,0.3000,85.82561640,0.9909996900,0.4493604965,0.1567230250,0.2740911118,0.8623804344,0.3348818517,0.8793548880
case052,cases_floorfrontdriver_lhs_100\case052\case052.key,2000394,3046339,-2122.25825000,447.50830000,289.30907500,-2122.51022489,450.78130179,272.11971876,72.47859778,-941.45323929,4944.38321667,5033.73745265,1.17111088,0.0117111088,6.0956321096E-05,10.81171171,274.40228202,2,steel_rigid,210000.0,0.3000,247.77589159,0.5639408714,0.5714219660,0.9531155142,0.8422217520,0.7207807805,0.7622285612,0.9717043558
case053,cases_floorfrontdriver_lhs_100\case053\case053.key,2000394,3049056,-2555.95050000,246.10992500,316.60972500,-2551.73236629,246.03502465,299.62585801,-679.94347864,12.07358755,2737.72013657,2820.91837029,0.81111258,0.0081111258,4.2218409562E-05,13.94994969,178.98271998,0,aluminum_rigid,70000.0,0.3300,103.98228339,0.1583543479,0.0639405869,0.3143293699,0.1222251513,0.9299966463,0.4971742222,0.2554930641
case054,cases_floorfrontdriver_lhs_100\case054\case054.key,2000394,3045165,-2267.87800000,570.83315000,284.03785000,-2270.83135476,568.45680177,266.95333465,464.69237514,373.90391303,2688.14438283,2753.51836068,1.13665029,0.0113665029,5.9162647538E-05,12.51005195,38.82108587,0,aluminum_rigid,70000.0,0.3300,124.54548412,0.4277581101,0.8821745475,0.2948726540,0.7733005778,0.8340034636,0.1078363496,0.2894462058
case055,cases_floorfrontdriver_lhs_100\case055\case055.key,2000394,3046902,-2342.33000000,411.85565000,299.04275000,-2343.04513419,408.39081631,281.90409455,86.98040277,421.42109138,2084.54186552,2128.49151180,0.90247318,0.0090247318,4.6973728919E-05,11.66351606,78.33803470,0,aluminum_rigid,70000.0,0.3300,237.64252288,0.3581310235,0.4815848162,0.1144428601,0.3049463561,0.7775677370,0.2176056520,0.1009195644
case056,cases_floorfrontdriver_lhs_100\case056\case056.key,2000394,3045495,-2059.70725000,586.68842500,288.04617500,-2060.32694339,588.35017732,270.63627668,93.88582510,-251.76158079,2637.66355636,2651.31429262,0.83970090,0.0083970090,4.3706431709E-05,5.81663181,290.45127096,0,aluminum_rigid,70000.0,0.3300,108.49197420,0.6224382105,0.9221264926,0.2653688671,0.1794017948,0.3877754543,0.8068090860,0.2479981484
